len_answer_content,len_user_intro,len_question_content,user_exp,len_user_edu,num_user_interst,num_user_followed,num_question_tags,num_user_saved,num_user_thanks,num_user_agrees,num_user_helped,num_user_recommend,answer_question_overlap,question_uinterest_overlap,uinterest_answer_overlap,s2v_0,s2v_1,s2v_2,s2v_3,s2v_4,s2v_5,s2v_6,s2v_7,s2v_8,s2v_9,s2v_10,s2v_11,s2v_12,s2v_13,s2v_14,s2v_15,s2v_16,s2v_17,s2v_18,s2v_19,s2v_20,s2v_21,s2v_22,s2v_23,s2v_24,s2v_25,s2v_26,s2v_27,s2v_28,s2v_29,s2v_30,s2v_31,s2v_32,s2v_33,s2v_34,s2v_35,s2v_36,s2v_37,s2v_38,s2v_39,s2v_40,s2v_41,s2v_42,s2v_43,s2v_44,s2v_45,s2v_46,s2v_47,s2v_48,s2v_49
0.16884626562,0.121486422106,0.241666666667,0.391891891892,0.268041237113,0.584677419355,0.319371727749,0.365079365079,0.00186567164179,0.00853744241131,0.0041124435919,0.00144565419243,0.0369697969962,0.166666666667,0.222222222222,0.0,0.213937,-0.208276,-0.184094,-0.433862,-0.012577,0.174767,0.220417,-0.021508,-0.216794,0.236533,0.174023,0.336852,0.351993,0.502491,-0.47245,0.519267,0.214887,-0.166274,-0.14715,-0.2695,-0.16275,-0.599031,0.08356,-0.002456,-0.362856,0.430316,-0.071364,0.371218,0.314472,-0.535352,-0.091944,-1.391035,-0.110403,0.461425,0.294751,-0.299717,-0.387821,-0.089868,-0.167415,-0.373538,-0.119375,0.680546,0.107804,-0.043323,-0.985958,0.001846,-0.490921,0.604581,0.035683,0.071962
0.048823016565,0.0754327457519,0.733333333333,0.324324324324,0.144329896907,0.368951612903,1.0,0.187830687831,0.00932835820896,0.0154090424009,0.00794198418503,0.00122666722159,0.023766298069,0.0,0.111111111111,0.25,-0.117713,-0.183091,-0.007138,0.489297,-0.743486,-0.336654,0.334921,-0.120084,0.031783,-0.387033,-0.104674,-0.333294,-0.525488,-0.016139,-0.111287,-0.134277,-0.112444,0.008762,-0.010755,-0.295319,0.070725,-0.240247,0.193533,-0.597878,0.119057,0.253278,-0.040213,0.087167,0.5817,-0.372667,-0.212971,-0.311293,0.228712,-0.045953,-0.544378,0.332995,0.01866,0.265124,-0.790063,-0.354765,-0.212418,-0.360613,0.648034,0.752726,-0.445869,-0.006323,0.041699,0.637767,0.261136,0.194665
0.0264458006393,0.0266793711291,0.720833333333,0.243243243243,0.525773195876,0.735887096774,1.0,0.359788359788,0.00559701492537,0.0109060621047,0.0322302416406,0.00711625804116,0.041095890411,0.0,0.0,0.25,-0.59385,-0.894305,-0.110383,0.023092,0.279707,0.564737,-0.072058,-0.228939,-0.352835,0.223921,0.314465,0.033133,0.137359,0.634989,0.652761,0.070168,0.353522,-0.962599,0.159026,-0.741093,-0.433141,0.130656,-0.059903,-0.064418,0.022568,0.665341,0.445781,0.297035,0.31119,-0.644513,0.107534,-0.000542,0.521089,0.225627,0.900721,-0.819895,0.763752,0.008053,0.370238,-0.03642,-0.329528,0.243359,-0.045655,0.607331,-0.424745,0.531665,-0.349042,-0.041402,-0.520731,-0.448345
0.0999709386806,0.020644751469,0.191666666667,0.459459459459,0.14089347079,0.100806451613,1.0,0.243386243386,0.00746268656716,0.00684557120175,0.00509225397789,0.000776200412936,0.0323485723717,0.0,0.0,0.0,0.520812,-0.104012,-0.167963,-0.053395,-0.296818,-0.289191,-0.16302,-0.374359,0.040112,-0.171104,0.315666,-0.356371,-0.183235,0.082699,-0.268486,-0.131242,-0.101438,0.014072,-0.618009,0.098001,-0.120426,0.120743,-0.245176,0.002814,-0.16026,-0.641917,-0.279121,0.206536,0.134521,0.009179,-0.175701,-0.082056,0.229296,-0.41126,-0.47801,0.086943,-0.070329,0.290324,-0.515942,-0.13858,-0.162049,0.08517,0.158342,0.247097,-0.079949,0.479651,-0.265116,0.621317,-0.0095,0.293894
0.108689334496,0.0,0.520833333333,0.256756756757,0.0137457044674,0.0201612903226,1.0,0.253968253968,0.0,0.00338374241912,0.0021321226005,0.000122799225111,0.0224459481763,0.0,0.0,0.0,-0.112596,0.103299,-0.243386,0.620566,-0.340861,-0.209664,0.128219,-0.069477,-0.539837,-0.319381,0.468433,-0.365493,-0.053617,-0.535272,0.346052,0.489173,-0.055569,0.240662,-0.424257,-0.251841,-0.479243,-0.539617,0.608308,0.129123,-0.151965,-0.456859,-0.282488,-0.760794,0.066626,0.542328,-0.008843,-0.503189,0.218664,0.319727,-0.452646,0.201052,-0.010548,0.711066,0.643791,-0.363349,-0.211332,0.345415,0.003912,-0.027513,0.433016,0.342051,-0.426749,0.664392,-0.103346,0.508996
0.0857308921825,0.182785453391,0.2,0.175675675676,0.14089347079,0.308467741935,0.989528795812,0.0952380952381,0.0,0.00929227725865,0.00546485792749,0.000375870465926,0.0343290972108,0.0,0.333333333333,0.0,0.021159,-0.339285,0.253781,0.902472,-0.961276,-0.300546,-0.504671,-0.427091,-0.141884,-0.465637,-0.217216,-0.345267,-0.252018,0.110934,-0.612632,0.13738,0.226734,0.174506,0.110399,-0.67948,-0.611937,0.264594,0.023398,0.866764,-0.257956,0.31298,0.180661,-0.245537,-0.435217,-0.514029,0.315098,0.13971,-0.030116,-0.202599,-0.03502,-0.097113,-0.222344,-0.563505,0.436951,-0.130625,-0.267662,0.10453,0.255916,-0.146501,-0.629453,-0.062671,0.594926,-0.06746,0.093456,-0.103686
0.0293519325777,0.0368429410831,0.520833333333,0.391891891892,0.123711340206,0.209677419355,1.0,0.415343915344,0.0111940298507,0.0160597620969,0.0153871631039,0.00643179853729,0.0562799141773,0.0,0.0,0.0,0.025697,0.182107,-0.215163,0.250522,-0.554443,-0.024363,-0.533956,-0.383189,0.038036,0.065872,0.565538,0.574401,-0.349386,0.104805,0.25101,0.239176,-0.613375,-0.120011,-0.353712,0.542658,-0.1487,-0.653694,-1.073121,0.369822,-0.157978,0.414742,0.412337,-0.086589,-0.193367,0.467371,0.356188,-0.080302,0.289238,0.445099,0.179377,-0.095254,0.810542,0.125283,-0.510515,0.116404,0.063651,0.192392,-0.303039,0.271847,-0.076635,0.054751,-0.292652,0.903877,-0.252664,-0.119515
0.0427201394943,0.0,0.716666666667,0.459459459459,0.147766323024,0.0,0.00523560209424,0.222222222222,0.0,0.000598662120305,0.000172501828519,6.65540713592e-05,0.0221158607031,0.0,0.0,0.0,-0.027466,-0.535306,0.36671,-0.405704,-0.372687,0.136078,0.101331,-0.432141,-0.426406,-0.324982,0.312563,-0.867235,-0.385482,0.124106,-0.101428,-0.058564,-0.034511,0.445832,-0.483817,-0.308521,-0.352757,0.12152,-0.455096,0.198397,0.511703,-0.280317,-0.30597,0.13272,0.151401,0.136926,-0.035647,0.420075,-0.172494,-0.254919,0.213745,0.60988,0.2257,-0.008968,-0.219569,-0.367276,0.212471,-0.555951,-0.085446,0.119032,0.038607,-0.052939,0.610781,-0.64445,-0.167588,-0.505087
0.0151118860796,0.0644751468953,0.5375,0.702702702703,0.237113402062,0.0100806451613,1.0,0.47619047619,0.0149253731343,0.0226710742081,0.0201344134248,0.00397233324831,0.0217857732299,0.0,0.0,0.0,0.951955,0.015068,-0.875343,-0.199223,-0.14535,0.272247,-0.447927,0.112157,0.15618,-0.084602,-0.069016,0.50126,-1.091791,-0.502355,0.15148,0.358213,-0.435633,-0.387365,-0.089311,-0.608108,0.621737,-0.566,-0.752862,-0.250425,-0.082544,0.114478,0.376115,0.271624,-0.001006,0.702429,0.590753,-0.050698,0.168469,0.26042,-0.016015,-0.046027,0.663599,-0.288865,-0.526475,-0.068938,-0.094631,0.212777,-0.582282,0.779876,0.030643,-0.260795,0.30299,0.197416,0.022272,-0.168513
0.0752688172043,0.04192472606,0.5375,0.527027027027,0.106529209622,0.129032258065,0.476439790576,0.291005291005,0.0,0.00666336968687,0.00365703876461,0.00097552244213,0.000990262419541,0.0,0.111111111111,0.0,-0.200405,0.02767,0.73272,0.20503,0.272035,0.06531,0.036485,0.059923,-0.306257,-0.299685,0.520454,-0.371358,0.293842,-0.527762,0.025785,0.098646,-0.029261,-0.134516,-0.693101,0.297526,-0.112948,-0.403423,-0.011353,0.077458,-0.028556,0.061702,-0.050696,-0.180419,0.715467,-0.051047,0.335727,0.217253,-0.02134,0.050301,-0.284499,0.487042,-0.180272,0.291737,-0.268637,0.100533,0.339825,-0.004977,-0.115746,0.214833,0.182745,-0.26485,0.14595,0.495799,0.277911,0.679306
